iso_code,continent,Country,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_per_case,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
LBR,Africa,Liberia,29/10/2020,1419,0,4.857,82,0,0,280.564,0,0.96,16.213,0,0,,,,,,,,,,,,,,,,,,,5057677,49.127,19.2,3.057,1.756,752.788,38.6,272.509,2.42,1.5,18.1,1.188,0.8,64.1,0.435
LBY,Africa,Libya,29/10/2020,58874,899,1035.571,823,11,8.286,8568.118,130.834,150.71,119.774,1.601,1.206,,,,,,,,,,,,,,,,,,,6871287,3.623,29,4.424,2.816,17881.509,,341.862,10.43,,,,3.7,72.91,0.706
LIE,Europe,Liechtenstein,29/10/2020,461,23,28.429,1,0,0,12087.999,603.089,745.433,26.221,0,0,,,,,,,,,,,,,,,,,,,38137,237.012,,,,,,,7.77,,,,2.397,82.49,0.916
LTU,Europe,Lithuania,29/10/2020,12138,776,557,144,3,3.429,4458.744,285.054,204.607,52.897,1.102,1.259,,,,,,,,,,,,,,,,,,,2722291,45.135,43.5,19.002,13.778,29524.265,0.7,342.989,3.67,21.3,38,,6.56,75.93,0.858
LUX,Europe,Luxembourg,29/10/2020,15658,774,569.571,147,0,1.286,25013.739,1236.469,909.893,234.833,0,2.054,,,,,,,,,,,,,,,,,,,625976,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26,,4.51,82.25,0.904
MKD,Europe,Macedonia,29/10/2020,28697,1498,551.571,963,30,14.429,13774.251,719.024,264.748,462.23,14.4,6.926,,,,,,,,,,,,,,,,,,,2083380,82.6,39.1,13.26,8.16,13111.214,5,322.688,10.08,,,,4.28,75.8,0.757
MDG,Africa,Madagascar,29/10/2020,16968,0,22.571,244,0,0.857,612.762,0,0.815,8.812,0,0.031,,,,,,,,,,,,,,,,,,,27691019,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.519
MWI,Africa,Malawi,29/10/2020,5904,7,5.714,184,1,0.143,308.626,0.366,0.299,9.618,0.052,0.007,,,,,,,,,,,,,,,,,,,19129955,197.519,18.1,2.979,1.783,1095.042,71.4,227.349,3.94,4.4,24.7,8.704,1.3,64.26,0.477
MYS,Asia,Malaysia,29/10/2020,29411,771,922,246,8,6.714,908.701,23.821,28.487,7.601,0.247,0.207,,,,,,,,,,,,,,,,,,,32365998,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,,1.9,76.16,0.802
MDV,Asia,Maldives,29/10/2020,11591,24,39.286,37,0,0,21443.292,44.4,72.678,68.45,0,0,,,,,,,,,,,,,,,,,,,540542,1454.433,30.6,4.12,2.875,15183.616,,164.905,9.19,2.1,55,95.803,,78.92,0.717
MLI,Africa,Mali,29/10/2020,3530,15,14.571,136,0,0.571,174.314,0.741,0.72,6.716,0,0.028,,,,,,,,,,,,,,,,,,,20250834,15.196,16.4,2.519,1.486,2014.306,,268.024,2.42,1.6,23,52.232,0.1,59.31,0.427
MLT,Europe,Malta,29/10/2020,5760,76,104.857,56,1,1.429,13045.28,172.125,237.481,126.829,2.265,3.235,,,,,,,,,,,,,,,,,,,441539,1454.037,42.4,19.426,11.324,36513.323,0.2,168.711,8.83,20.9,30.2,,4.485,82.53,0.878
MHL,Oceania,Marshall Islands,29/10/2020,2,2,,,0,,33.787,33.787,,,0,,,,,,,,,,,,,,,,,,,,59194,295.15,,,,3819.202,,557.793,30.53,,,82.502,2.7,73.7,0.708
MRT,Africa,Mauritania,29/10/2020,7677,0,6.143,163,0,0,1651.088,0,1.321,35.056,0,0,,,,,,,,,,,,,,,,,,,4649660,4.289,20.3,3.138,1.792,3597.633,6,232.347,2.42,,,15.95,,64.92,0.52
MUS,Africa,Mauritius,29/10/2020,441,2,3.143,10,0,0,346.762,1.573,2.471,7.863,0,0,,,,,,,,,,,,,,,,,,,1271767,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,,3.4,74.99,0.79
MEX,North America,Mexico,29/10/2020,906863,5595,5614.857,90309,495,413.429,7033.612,43.395,43.549,700.435,3.839,3.207,,,,,,,,,,,,,,,,,,,128932753,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.774
